"w1","w2","w3","w4","rank"
"according","wall","street","journal",6
"also","really","looking","forward",4
"april","showers","bring","may",3
"baking","chocolate","chip","cookies",3
"best","exotic","marigold","hotel",7
"big","brothers","big","sisters",5
"breakfast","important","meal","day",3
"buy","one","get","one",14
"can","anything","put","mind",4
"can","go","long","way",6
"can","make","world","better",3
"can","mean","one","thing",7
"can","never","go","back",7
"cant","imagine","life","without",6
"cant","pick","just","one",3
"cant","remember","last","time",13
"cant","tell","many","times",4
"cant","wait","get","home",5
"celebrate","cinco","de","mayo",9
"celebrating","th","anniversary","year",3
"chitty","chitty","bang","bang",3
"chris","evans","chris","hemsworth",3
"closest","will","ever","get",3
"cy","young","award","winner",7
"day","cinco","de","mayo",5
"day","just","around","corner",5
"death","osama","bin","laden",4
"department","housing","urban","development",7
"done","long","time","ago",4
"drove","miles","per","hour",3
"even","go","far","say",3
"every","day","earth","day",5
"extra","virgin","olive","oil",10
"fannie","mae","freddie","mac",20
"first","day","back","work",4
"first","lady","michelle","obama",12
"first","round","draft","pick",4
"first","three","months","last",3
"first","time","long","time",12
"first","time","since","last",4
"freshly","ground","black","pepper",10
"fruits","vegetables","whole","grains",5
"good","news","bad","news",13
"good","thing","bad","thing",9
"ground","black","pepper","taste",5
"happy","hour","pm","pm",5
"heart","rate","blood","pressure",3
"high","fructose","corn","syrup",10
"hope","will","join","us",13
"hope","will","one","day",3
"inquiring","minds","want","know",4
"join","us","monday","april",3
"jpmorgan","ceo","jamie","dimon",3
"just","keep","going","back",3
"just","like","everyone","else",4
"just","want","get","back",4
"just","want","go","back",4
"just","wanted","let","know",13
"just","wanted","make","sure",8
"killed","osama","bin","laden",7
"late","night","early","morning",4
"late","s","early","s",26
"less","two","years","old",3
"let","us","know","thoughts",6
"light","refreshments","will","served",3
"like","good","old","days",4
"little","note","long","remember",3
"little","red","riding","hood",8
"live","new","york","city",3
"living","new","york","city",3
"looking","forward","seeing","great",5
"make","sure","check","back",6
"make","world","better","place",6
"man","live","bread","alone",3
"martin","luther","king","jr",52
"meeting","will","take","place",3
"never","seen","anything","like",8
"new","years","eve","party",4
"new","york","daily","news",11
"new","york","los","angeles",10
"new","york","new","jersey",20
"new","york","new","york",16
"new","york","stock","exchange",28
"new","york","times","reported",8
"next","time","get","chance",3
"now","cant","wait","see",5
"occupy","wall","street","movement",9
"occupy","wall","street","protesters",4
"oh","well","will","try",3
"one","get","one","free",10
"passed","away","years","ago",4
"peanut","butter","jelly","sandwich",4
"peanut","butter","jelly","sandwiches",6
"pitchers","catchers","report","spring",3
"player","one","ernest","cline",3
"pot","gold","end","rainbow",4
"pretty","good","right","now",6
"pretty","much","every","night",3
"prince","william","kate","middleton",5
"pro","football","hall","fame",6
"ready","player","one","ernest",3
"real","housewives","beverly","hills",5
"really","looking","forward","next",3
"red","hot","chili","peppers",24
"right","now","right","now",4
"right","place","right","time",9
"risk","high","blood","pressure",5
"rock","roll","hall","fame",23
"rocky","horror","picture","show",7
"salt","freshly","ground","black",6
"seemed","like","good","idea",4
"seen","anything","quite","like",3
"showers","bring","may","flowers",3
"smells","like","teen","spirit",4
"spend","much","time","thinking",3
"st","francis","de","sales",3
"staff","sgt","robert","bales",4
"still","long","way","go",6
"take","time","get","know",5
"things","will","get","better",6
"three","months","last","year",6
"two","years","ago","today",4
"us","fish","wildlife","service",14
"us","let","us","know",15
"vice","president","joe","biden",17
"wait","till","next","year",3
"well","lets","just","say",8
"will","go","long","way",11
"will","just","go","ahead",3
"will","just","wait","see",4
"will","keep","coming","back",5
"will","little","note","long",3
"will","make","feel","better",9
"will","receive","gift","certificate",3
"within","next","two","weeks",3
"world","autism","awareness","day",5
"world","press","freedom","day",3
"world","will","little","note",3
"worst","thing","ever","happened",3
"wrong","place","wrong","time",8
